"Geography_Code","NM_1549_1_0","NM_1549_1_1","NM_1549_1_10","NM_1549_1_11","NM_1549_1_2","NM_1549_1_3","NM_1549_1_4","NM_1549_1_5","NM_1549_1_6","NM_1549_1_7","NM_1549_1_8","NM_1549_1_9"
"N00000588",139,139,1,0,136,86,23,27,2,1,1,0
"N00000589",182,182,0,0,182,170,11,1,0,0,0,0
"N00000590",137,137,0,0,137,113,20,4,0,0,0,0
"N00000591",155,155,2,0,153,146,4,3,0,0,0,0
"N00000592",188,188,1,0,187,89,67,31,0,0,0,0
"N00000593",171,171,0,0,170,159,11,0,1,1,0,0
"N00000594",130,130,1,0,128,109,13,6,1,1,0,0
"N00000595",185,185,1,0,180,147,18,15,4,4,0,0
"N00000596",120,120,0,0,120,75,32,13,0,0,0,0
"N00000597",121,121,0,0,100,8,8,84,21,16,4,1
"N00000598",152,152,0,0,125,9,18,98,27,16,3,8
"N00000599",114,114,0,0,73,14,13,46,41,36,4,1
"N00000600",122,122,0,0,121,32,58,31,1,1,0,0
"N00000601",133,133,0,0,133,25,44,64,0,0,0,0
"N00000602",111,111,0,0,111,7,101,3,0,0,0,0
"N00000603",151,151,0,0,151,66,45,40,0,0,0,0
"N00000604",132,132,1,0,131,52,49,30,0,0,0,0
"N00000605",196,196,0,0,188,59,66,63,8,3,0,5
"N00000606",124,124,0,0,122,36,78,8,2,1,0,1
"N00000607",129,129,0,0,128,16,26,86,1,1,0,0
"N00000608",138,138,1,0,137,115,19,3,0,0,0,0
"N00000609",136,136,0,0,136,83,26,27,0,0,0,0
"N00000610",147,147,0,0,146,90,53,3,1,1,0,0
"N00000611",122,122,0,0,122,80,33,9,0,0,0,0
"N00000612",246,246,0,0,209,18,50,141,37,36,0,1
"N00000613",112,112,0,0,85,2,37,46,27,27,0,0
"N00000614",119,119,0,0,36,3,2,31,83,83,0,0
"N00000615",87,87,0,0,26,7,4,15,61,61,0,0
"N00000616",129,129,0,0,119,9,24,86,10,10,0,0
"N00000617",133,133,0,0,88,5,33,50,45,41,1,3
"N00000618",271,271,0,0,259,40,56,163,12,9,3,0
"N00000619",141,141,0,0,141,117,21,3,0,0,0,0
"N00000620",139,139,0,0,139,81,55,3,0,0,0,0
"N00000621",176,176,0,0,150,69,48,33,26,25,1,0
"N00000622",164,164,0,0,130,25,71,34,34,31,3,0
"N00000623",125,125,0,0,125,83,18,24,0,0,0,0
"N00000624",160,160,0,0,158,136,20,2,2,2,0,0
"N00000625",118,118,0,0,99,35,30,34,19,14,2,3
"N00000626",156,156,0,0,154,143,9,2,2,0,1,1
"N00000627",159,159,0,0,159,124,31,4,0,0,0,0
"N00000628",141,141,0,0,141,116,22,3,0,0,0,0
"N00000629",171,171,0,0,143,53,71,19,28,27,1,0
"N00000630",126,126,0,0,125,32,55,38,1,1,0,0
"N00000631",137,137,2,0,135,115,18,2,0,0,0,0
"N00000632",156,156,0,0,156,146,4,6,0,0,0,0
"N00000633",126,126,0,0,121,102,18,1,5,4,1,0
"N00000634",166,166,1,0,164,155,7,2,1,0,1,0
"N00000635",153,153,1,0,152,145,6,1,0,0,0,0
"N00000636",143,143,1,0,141,113,22,6,1,0,1,0
"N00000637",305,305,0,0,279,79,183,17,26,25,1,0
"N00000638",136,136,0,0,133,66,64,3,3,0,3,0
"N00000639",143,143,1,0,141,66,74,1,1,0,1,0
"N00000640",132,132,0,0,130,24,91,15,2,2,0,0
"N00000641",129,129,0,0,127,122,3,2,2,2,0,0
"N00000642",145,145,0,0,145,16,125,4,0,0,0,0
"N00000643",148,148,0,0,147,109,21,17,1,0,1,0
"N00000644",184,184,0,0,184,81,95,8,0,0,0,0
"N00000645",136,136,2,0,133,100,30,3,1,0,1,0
"N00000646",124,124,0,0,123,76,39,8,1,0,1,0
"N00000647",300,300,0,0,295,99,144,52,5,2,0,3
"N00000648",129,129,0,0,129,83,41,5,0,0,0,0
"N00000649",132,132,1,0,131,110,21,0,0,0,0,0
"N00000650",229,229,0,0,229,136,81,12,0,0,0,0
"N00000651",122,122,0,0,109,20,26,63,13,10,3,0
"N00000652",200,200,0,0,200,146,47,7,0,0,0,0
"N00000653",116,116,0,0,116,94,20,2,0,0,0,0
"N00000654",114,114,0,0,97,33,30,34,17,17,0,0
"N00000655",141,141,0,0,140,81,57,2,1,0,0,1
"N00000656",115,115,0,0,106,55,22,29,9,7,2,0
"N00000657",318,318,0,0,313,99,194,20,5,4,0,1
"N00000658",123,123,0,0,123,96,26,1,0,0,0,0
"N00000659",142,142,0,0,141,76,62,3,1,0,0,1
"N00000660",153,153,0,0,153,28,91,34,0,0,0,0
"N00000661",141,141,1,0,140,85,55,0,0,0,0,0
"N00000662",140,140,0,0,140,46,93,1,0,0,0,0
"N00000663",148,148,1,0,144,105,39,0,3,2,1,0
"N00000664",148,148,0,0,141,87,40,14,7,7,0,0
"N00000665",145,145,0,0,144,84,57,3,1,1,0,0
"N00000666",132,132,1,0,130,111,18,1,1,0,1,0
"N00000667",137,137,0,0,136,109,27,0,1,1,0,0
"N00000668",127,127,0,0,124,30,52,42,3,1,0,2
"N00000669",151,151,0,0,151,82,68,1,0,0,0,0
"N00000670",126,126,0,0,126,25,85,16,0,0,0,0
"N00000671",130,130,0,0,130,39,91,0,0,0,0,0
"N00000672",131,131,0,0,131,59,65,7,0,0,0,0
"N00000673",353,353,1,0,352,104,188,60,0,0,0,0
"N00000674",130,130,0,0,129,109,19,1,1,1,0,0
"N00000675",144,144,0,0,142,135,6,1,2,2,0,0
"N00000676",294,294,0,0,260,130,102,28,34,29,1,4
"N00000677",143,143,0,0,102,15,15,72,41,33,7,1
"N00000678",161,161,1,0,160,128,29,3,0,0,0,0
"N00000679",167,167,1,0,166,149,15,2,0,0,0,0
"N00000680",139,139,0,0,136,54,53,29,3,1,1,1
"N00000681",138,138,1,0,136,92,43,1,1,1,0,0
"N00000682",143,143,0,0,141,125,15,1,2,1,1,0
"N00000683",132,132,1,0,131,112,18,1,0,0,0,0
"N00000684",202,202,0,0,197,93,64,40,5,2,1,2
"N00000685",121,121,1,0,119,33,54,32,1,1,0,0
"N00000686",148,148,0,0,147,127,19,1,1,1,0,0
"N00000687",135,135,0,0,135,73,61,1,0,0,0,0
"N00000688",132,132,1,0,130,112,17,1,1,0,1,0
"N00000689",136,136,1,0,135,109,26,0,0,0,0,0
"N00000690",119,119,0,0,113,38,55,20,6,6,0,0
"N00000691",129,129,0,0,126,6,37,83,3,3,0,0
"N00000692",129,129,0,0,128,10,41,77,1,1,0,0
