"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000428",398,349,33,2,14
"N00000429",474,428,29,6,11
"N00000430",497,443,30,12,12
"N00000431",361,318,20,8,15
"N00000432",285,253,16,7,9
"N00000433",280,261,11,3,5
"N00000434",445,395,23,9,18
"N00000435",430,384,23,9,14
"N00000436",522,441,50,10,21
"N00000437",664,579,54,12,19
"N00000438",475,422,29,12,12
"N00000439",419,373,32,5,9
"N00000440",417,388,22,3,4
"N00000441",311,283,15,7,6
"N00000442",444,404,18,9,13
"N00000443",488,430,43,9,6
"N00000444",566,499,38,14,15
"N00000445",397,333,45,5,14
"N00000446",336,306,17,6,7
"N00000447",309,277,22,2,8
"N00000448",246,217,17,2,10
"N00000449",435,389,28,9,9
"N00000450",491,438,40,4,9
"N00000451",493,430,33,11,19
"N00000452",452,397,35,6,14
"N00000453",335,292,18,16,9
"N00000454",514,452,41,8,13
"N00000455",273,239,26,5,3
"N00000456",322,287,23,6,6
"N00000457",347,309,22,8,8
"N00000458",366,294,55,11,6
"N00000459",690,628,43,8,11
"N00000460",359,321,18,5,15
"N00000461",421,368,35,8,10
"N00000462",232,204,13,6,9
"N00000463",777,692,45,19,21
"N00000464",436,387,24,12,13
"N00000465",305,276,17,5,7
"N00000466",375,317,32,13,13
"N00000467",290,249,27,6,8
"N00000468",302,264,27,5,6
"N00000469",440,395,26,5,14
"N00000470",286,245,24,11,6
"N00000471",286,260,10,6,10
"N00000472",222,202,9,4,7
"N00000473",202,191,9,1,1
"N00000474",250,218,17,10,5
"N00000475",238,215,12,3,8
"N00000476",256,227,12,9,8
"N00000477",721,637,64,7,13
"N00000478",294,273,9,7,5
"N00000479",280,242,23,7,8
"N00000480",335,280,31,9,15
"N00000481",469,417,38,2,12
"N00000482",225,202,10,2,11
"N00000483",285,255,19,6,5
"N00000484",330,301,12,6,11
"N00000485",241,221,14,3,3
"N00000486",372,326,37,4,5
"N00000487",290,255,18,8,9
"N00000488",409,364,32,7,6
"N00000489",282,251,15,5,11
"N00000490",515,452,42,3,18
"N00000491",525,474,34,5,12
"N00000492",414,373,30,5,6
"N00000493",331,295,22,8,6
"N00000494",825,729,67,12,17
"N00000495",336,303,22,0,11
"N00000496",837,753,55,17,12
"N00000497",837,746,54,18,19
"N00000498",337,302,23,3,9
"N00000499",296,263,10,8,15
"N00000500",503,442,24,15,22
"N00000501",300,264,10,8,18
"N00000502",196,175,10,5,6
"N00000503",395,361,15,7,12
"N00000504",236,208,13,3,12
"N00000505",225,199,14,9,3
"N00000506",282,250,18,8,6
"N00000507",269,243,7,6,13
"N00000508",316,279,21,6,10
"N00000509",357,318,23,8,8
"N00000510",290,261,14,10,5
"N00000511",520,471,33,3,13
"N00000512",430,370,34,12,14
"N00000513",327,283,32,6,6
"N00000514",357,306,32,7,12
"N00000515",345,300,27,5,13
"N00000516",215,173,25,5,12
"N00000517",394,350,28,8,8
"N00000518",311,263,27,4,17
"N00000519",260,219,27,6,8
"N00000520",612,555,29,11,17
"N00000521",413,366,21,11,15
"N00000522",451,401,29,7,14
"N00000523",397,354,31,8,4
"N00000524",488,447,35,3,3
"N00000525",431,387,22,8,14
"N00000526",260,239,10,6,5
"N00000527",344,313,20,5,6
"N00000528",247,218,19,3,7
"N00000529",238,220,7,5,6
"N00000530",292,244,26,10,12
"N00000531",317,294,15,3,5
"N00000532",214,189,9,5,11
"N00000533",214,191,9,3,11
"N00000534",490,438,31,7,14
"N00000535",519,459,37,6,17
"N00000536",392,351,22,7,12
"N00000537",413,366,29,8,10
"N00000538",395,356,27,6,6
"N00000539",381,321,30,6,24
"N00000540",291,247,22,9,13
"N00000541",407,358,36,6,7
"N00000542",265,227,26,3,9
"N00000543",389,360,19,6,4
"N00000544",273,250,15,3,5
"N00000545",288,254,19,1,14
"N00000546",280,247,17,9,7
"N00000547",327,299,14,4,10
"N00000548",285,263,11,2,9
"N00000549",215,202,5,3,5
"N00000550",429,392,25,4,8
