"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000650",602,299,215,72,14,2
"N00000651",278,90,98,59,23,8
"N00000652",533,268,170,71,18,6
"N00000653",309,167,98,36,6,2
"N00000654",269,101,93,51,19,5
"N00000655",368,155,143,56,14,0
"N00000656",242,64,96,62,15,5
"N00000657",851,413,291,120,21,6
"N00000658",364,171,139,41,9,4
"N00000659",391,170,131,75,13,2
"N00000660",387,168,132,67,17,3
"N00000661",384,184,117,67,13,3
"N00000662",352,140,126,71,13,2
"N00000663",395,170,149,61,13,2
"N00000664",378,178,122,61,13,4
"N00000665",485,277,133,45,22,8
"N00000666",439,230,135,60,12,2
"N00000667",538,299,173,53,10,3
"N00000668",323,131,104,64,20,4
"N00000669",493,285,140,44,19,5
"N00000670",292,123,91,53,23,2
"N00000671",239,74,71,67,25,2
"N00000672",324,124,118,66,9,7
"N00000673",943,455,337,122,22,7
"N00000674",316,141,119,40,14,2
"N00000675",387,182,147,41,14,3
"N00000676",721,295,238,119,57,12
"N00000677",295,100,98,79,12,6
"N00000678",531,253,185,67,20,6
"N00000679",561,289,178,75,17,2
"N00000680",413,200,139,49,18,7
"N00000681",385,181,125,62,13,4
"N00000682",485,288,133,41,15,8
"N00000683",391,198,128,53,7,5
"N00000684",595,304,221,50,13,7
"N00000685",326,142,122,47,12,3
"N00000686",499,268,170,47,13,1
"N00000687",379,162,124,66,22,5
"N00000688",407,190,141,62,11,3
"N00000689",392,198,125,52,12,5
"N00000690",282,100,106,49,25,2
"N00000691",303,128,102,49,20,4
"N00000692",244,71,81,61,24,7
"N00000693",287,90,125,60,9,3
"N00000694",873,423,287,112,43,8
"N00000695",518,228,199,63,21,7
"N00000696",180,57,53,52,15,3
"N00000697",380,181,129,54,11,5
"N00000698",451,218,137,66,26,4
"N00000699",256,73,71,86,21,5
"N00000700",262,83,108,55,14,2
"N00000701",235,98,63,48,21,5
"N00000702",771,392,257,93,28,1
"N00000703",342,137,106,66,31,2
"N00000704",656,293,242,89,27,5
"N00000705",680,382,215,62,16,5
"N00000706",437,205,154,54,18,6
"N00000707",360,159,128,56,13,4
"N00000708",466,236,150,58,21,1
"N00000709",465,240,142,65,14,4
"N00000710",345,164,118,53,8,2
