"Geography_Code","NM_1554_1_0","NM_1554_1_1","NM_1554_1_2","NM_1554_1_3","NM_1554_1_4","NM_1554_1_5","NM_1554_1_6","NM_1554_1_7","NM_1554_1_8","NM_1554_1_9"
"N00000298",119,0,0,0,4,62,31,19,3,0
"N00000299",147,0,0,3,18,51,50,16,4,5
"N00000300",133,0,0,12,36,53,20,9,3,0
"N00000301",124,0,1,0,0,39,47,21,11,5
"N00000302",127,0,0,0,2,38,37,19,19,12
"N00000303",110,0,0,1,0,27,34,28,12,8
"N00000304",117,0,0,5,5,44,39,11,10,3
"N00000305",121,0,1,0,1,6,15,29,33,36
"N00000306",128,0,0,1,2,45,41,20,14,5
"N00000307",122,0,1,2,1,38,37,25,12,6
"N00000308",110,0,1,1,2,60,22,9,10,5
"N00000309",124,0,0,6,4,32,35,28,12,7
"N00000310",149,0,0,4,5,30,30,41,21,18
"N00000311",160,0,9,19,22,61,24,13,4,8
"N00000312",175,0,0,5,16,40,35,29,19,31
"N00000313",193,0,0,5,4,78,34,28,20,24
"N00000314",137,0,4,12,16,70,25,3,3,4
"N00000315",133,2,1,3,22,63,19,11,3,9
"N00000316",130,0,0,5,9,62,28,16,6,4
"N00000317",213,4,11,31,62,60,18,12,5,10
"N00000318",129,0,1,3,15,36,25,15,16,18
"N00000319",310,0,2,12,30,131,69,33,22,11
"N00000320",128,0,1,2,14,34,24,28,16,9
"N00000321",211,0,0,5,36,89,38,17,16,10
"N00000322",154,0,2,4,28,57,30,20,6,7
"N00000323",163,0,1,5,5,25,24,39,28,36
"N00000324",151,0,0,12,21,24,24,33,18,19
"N00000325",198,0,0,3,29,47,37,43,16,23
"N00000326",377,0,5,8,51,183,40,27,39,24
"N00000327",130,0,1,4,30,61,22,5,6,1
"N00000328",126,1,2,12,20,53,31,6,1,0
"N00000329",137,1,0,5,10,86,24,3,4,4
"N00000330",203,0,2,2,26,45,61,34,12,21
"N00000331",233,1,3,22,36,84,31,28,19,9
"N00000332",124,0,1,13,39,56,11,2,2,0
"N00000333",125,0,3,13,22,73,11,1,1,1
"N00000334",116,0,2,9,19,68,12,3,2,1
"N00000335",136,0,0,2,9,80,38,3,4,0
"N00000336",131,0,0,1,4,39,24,39,13,11
"N00000337",120,0,0,2,2,29,30,20,18,19
"N00000338",129,0,0,2,5,44,31,32,6,9
"N00000339",122,0,1,2,4,28,32,29,18,8
"N00000340",138,0,0,0,3,15,32,37,29,22
"N00000341",130,1,0,0,0,17,29,48,25,10
"N00000342",133,0,0,2,5,50,29,18,17,12
"N00000343",122,0,0,0,1,43,33,24,14,7
"N00000344",128,0,5,8,5,77,22,6,4,1
"N00000345",163,0,0,6,19,107,21,5,3,2
"N00000346",209,0,1,2,12,71,51,37,21,14
"N00000347",130,3,4,16,30,45,12,8,4,8
"N00000348",125,0,0,5,5,41,30,20,14,10
"N00000349",149,2,2,12,19,38,35,13,11,17
"N00000350",169,1,1,7,8,51,39,25,14,23
