"Geography_Code","NM_1553_1_0","NM_1553_1_1","NM_1553_1_2","NM_1553_1_3","NM_1553_1_4","NM_1553_1_5","NM_1553_1_6","NM_1553_1_7","NM_1553_1_8"
"N00000305",121,4,40,25,36,11,5,0,0
"N00000306",128,23,26,26,38,14,1,0,0
"N00000307",122,17,38,26,26,10,5,0,0
"N00000308",110,21,40,28,15,4,2,0,0
"N00000309",124,14,34,27,35,9,5,0,0
"N00000310",149,33,50,30,20,9,6,1,0
"N00000311",160,69,45,21,15,9,1,0,0
"N00000312",175,35,51,28,31,18,8,3,1
"N00000313",193,33,42,36,42,30,7,2,1
"N00000314",137,35,40,28,19,12,2,0,1
"N00000315",133,45,32,19,17,13,3,4,0
"N00000316",130,25,40,21,20,21,1,1,1
"N00000317",213,94,53,35,19,8,2,2,0
"N00000318",129,28,43,20,23,12,3,0,0
"N00000319",310,71,100,55,51,23,6,4,0
"N00000320",128,33,50,16,16,13,0,0,0
"N00000321",211,61,63,40,31,12,3,0,1
"N00000322",154,38,52,25,28,6,5,0,0
"N00000323",163,30,48,28,31,19,6,1,0
"N00000324",151,29,69,18,22,11,2,0,0
"N00000325",198,49,57,27,38,22,4,0,1
"N00000326",377,101,135,54,53,20,10,3,1
"N00000327",130,33,44,22,23,4,3,0,1
"N00000328",126,48,33,17,19,5,3,1,0
"N00000329",137,26,43,29,27,9,3,0,0
"N00000330",203,36,75,34,42,14,1,1,0
"N00000331",233,61,57,46,51,14,3,1,0
"N00000332",124,49,36,14,20,4,1,0,0
"N00000333",125,40,40,23,12,6,2,2,0
"N00000334",116,27,42,23,13,7,2,1,1
"N00000335",136,33,58,16,20,7,1,0,1
"N00000336",131,22,62,20,17,6,2,2,0
"N00000337",120,29,45,24,19,3,0,0,0
"N00000338",129,35,47,20,21,3,2,0,1
"N00000339",122,31,46,19,19,4,3,0,0
"N00000340",138,21,50,25,30,10,2,0,0
"N00000341",130,23,47,23,26,10,0,0,1
"N00000342",133,24,42,28,29,9,1,0,0
"N00000343",122,18,34,28,32,7,3,0,0
"N00000344",128,36,40,25,17,8,1,0,1
"N00000345",163,36,51,46,17,8,3,2,0
"N00000346",209,30,51,44,45,23,13,2,1
"N00000347",130,60,35,19,10,6,0,0,0
"N00000348",125,22,38,25,21,13,4,1,1
"N00000349",149,50,41,21,23,6,7,0,1
"N00000350",169,26,38,34,29,29,11,2,0
"N00000351",137,28,38,25,17,15,9,2,3
"N00000352",142,25,28,28,20,29,9,2,1
"N00000353",140,32,28,31,24,12,9,2,2
"N00000354",133,23,37,21,28,15,7,1,1
"N00000355",154,37,45,22,21,13,14,1,1
"N00000356",146,33,40,28,20,17,6,1,1
"N00000357",452,116,115,89,81,33,17,0,1
"N00000358",140,31,49,25,17,11,5,2,0
"N00000359",389,187,91,54,34,14,8,0,1
"N00000360",130,24,27,21,26,22,7,3,0
"N00000361",148,45,40,30,20,8,5,0,0
"N00000362",126,35,20,17,25,13,14,1,1
"N00000363",150,26,41,21,22,18,20,1,1
"N00000364",150,25,42,28,18,20,14,1,2
"N00000365",86,22,18,15,15,8,4,4,0
"N00000366",187,43,56,22,28,26,11,1,0
"N00000367",143,50,41,14,21,11,5,0,1
"N00000368",170,36,39,29,28,25,11,1,1
"N00000369",141,31,41,19,24,13,12,0,1
"N00000370",172,38,48,30,37,9,8,0,2
"N00000371",141,29,36,20,18,23,8,5,2
"N00000372",135,32,35,25,24,9,9,0,1
"N00000373",178,49,60,30,21,14,4,0,0
"N00000374",132,29,42,25,21,14,1,0,0
"N00000375",134,40,58,16,14,4,1,1,0
"N00000376",116,39,35,22,14,6,0,0,0
"N00000377",119,40,43,16,10,7,2,1,0
"N00000378",118,41,38,17,12,6,1,3,0
"N00000379",164,31,40,28,40,19,3,2,1
"N00000380",168,34,34,26,38,21,11,3,1
"N00000381",333,73,85,58,60,37,14,5,1
"N00000382",183,43,41,31,28,21,16,2,1
"N00000383",144,26,32,22,25,22,14,2,1
"N00000384",145,31,23,23,25,24,14,4,1
"N00000385",135,20,35,21,17,31,8,3,0
"N00000386",125,39,40,22,15,8,1,0,0
"N00000387",106,44,29,16,10,5,2,0,0
"N00000388",603,166,181,100,85,51,17,2,1
"N00000389",156,37,42,20,31,16,10,0,0
"N00000390",321,56,98,41,71,39,10,3,3
"N00000391",173,22,54,25,46,23,1,2,0
"N00000392",518,118,161,94,91,39,9,5,1
"N00000393",178,39,65,31,24,14,4,1,0
"N00000394",141,21,51,21,26,17,4,1,0
"N00000395",142,30,35,25,26,14,7,5,0
"N00000396",134,22,46,27,22,11,4,2,0
"N00000397",189,40,54,38,33,21,2,0,1
"N00000398",165,31,60,26,22,19,2,3,2
"N00000399",130,42,35,32,9,12,0,0,0
"N00000400",112,41,40,15,10,2,4,0,0
"N00000401",117,38,31,22,18,3,3,1,1
"N00000402",123,52,41,16,9,1,3,1,0
"N00000403",208,72,49,35,30,14,7,1,0
"N00000404",121,43,39,17,10,10,0,2,0
"N00000405",105,44,32,10,12,5,2,0,0
"N00000406",121,15,31,22,26,15,10,1,1
"N00000407",344,69,59,62,63,58,25,6,2
"N00000408",146,26,40,17,23,23,16,0,1
"N00000409",143,40,37,30,22,10,3,0,1
"N00000410",136,25,42,27,21,12,6,2,1
"N00000411",128,38,28,17,24,13,7,1,0
"N00000412",138,25,38,20,27,15,7,4,2
"N00000413",131,20,26,20,32,21,9,2,1
"N00000414",125,25,40,12,24,8,10,5,1
"N00000415",162,41,45,30,22,16,6,2,0
"N00000416",133,19,37,25,26,15,7,3,1
"N00000417",187,32,51,43,38,20,3,0,0
"N00000418",313,61,99,59,56,31,7,0,0
"N00000419",139,36,46,25,18,7,5,2,0
"N00000420",138,41,48,21,21,5,2,0,0
"N00000421",185,29,60,24,52,19,1,0,0
"N00000422",170,50,51,27,27,10,4,1,0
"N00000423",152,22,45,30,29,18,6,0,2
"N00000424",180,32,44,35,34,18,11,4,2
"N00000425",121,23,31,23,23,11,9,0,1
"N00000426",123,36,39,23,13,10,2,0,0
"N00000427",133,37,36,30,16,9,4,1,0
"N00000428",146,35,38,26,29,15,3,0,0
"N00000429",152,28,41,22,27,19,11,3,1
"N00000430",154,17,43,27,34,24,6,3,0
"N00000431",137,40,34,27,16,13,6,1,0
"N00000432",118,40,36,19,10,6,5,1,1
"N00000433",141,69,44,16,7,3,1,1,0
"N00000434",179,53,54,33,18,13,8,0,0
"N00000435",173,52,46,36,22,13,3,1,0
"N00000436",174,31,49,29,30,24,11,0,0
"N00000437",195,27,42,33,35,45,8,4,1
"N00000438",153,29,31,36,29,16,9,2,1
"N00000439",134,23,36,24,18,22,8,2,1
"N00000440",127,20,35,18,22,17,10,1,4
"N00000441",121,36,31,20,22,7,5,0,0
"N00000442",167,43,45,33,23,18,5,0,0
"N00000443",164,27,42,38,36,12,7,0,2
"N00000444",257,104,72,39,22,12,5,1,2
"N00000445",141,19,53,27,22,17,3,0,0
"N00000446",130,33,43,20,19,10,4,1,0
"N00000447",117,35,40,19,12,10,1,0,0
"N00000448",128,66,27,20,11,3,0,1,0
"N00000449",146,31,37,23,29,15,8,2,1
"N00000450",178,44,47,32,34,10,8,2,1
"N00000451",189,46,59,28,37,17,2,0,0
"N00000452",157,38,39,26,26,17,9,1,1
"N00000453",149,59,45,16,16,8,4,0,1
"N00000454",162,24,40,30,37,21,5,3,2
"N00000455",111,37,25,28,10,8,2,0,1
"N00000456",118,27,32,19,28,10,2,0,0
"N00000457",126,23,35,30,27,10,1,0,0
"N00000458",129,25,41,25,17,10,11,0,0
"N00000459",247,56,73,52,49,12,3,2,0
"N00000460",138,35,37,31,22,9,4,0,0
"N00000461",157,40,43,26,29,14,4,1,0
"N00000462",101,32,33,17,14,3,2,0,0
"N00000463",343,112,125,41,41,18,5,0,1
"N00000464",156,38,40,21,35,17,5,0,0
"N00000465",129,38,38,27,21,4,1,0,0
"N00000466",138,25,55,19,20,12,6,1,0
"N00000467",131,46,43,21,12,8,0,1,0
"N00000468",116,27,39,17,21,10,2,0,0
"N00000469",154,21,54,28,33,15,2,0,1
"N00000470",122,47,30,21,12,4,8,0,0
"N00000471",126,36,44,30,9,6,1,0,0
"N00000472",133,77,39,8,4,4,0,1,0
"N00000473",108,52,30,17,6,3,0,0,0
"N00000474",118,56,37,9,8,5,2,0,1
"N00000475",116,55,29,17,6,5,3,1,0
"N00000476",119,47,38,16,9,6,2,1,0
"N00000477",283,57,110,50,40,22,4,0,0
"N00000478",129,50,29,26,13,10,1,0,0
"N00000479",117,20,60,15,15,7,0,0,0
"N00000480",132,18,65,24,14,8,2,1,0
"N00000481",175,51,66,27,21,7,3,0,0
"N00000482",121,64,32,12,6,5,2,0,0
"N00000483",115,22,46,25,16,4,2,0,0
"N00000484",139,32,57,30,11,5,3,1,0
"N00000485",108,37,34,18,13,6,0,0,0
"N00000486",116,12,26,28,31,14,5,0,0
"N00000487",113,29,32,25,18,6,2,0,1
"N00000488",134,15,39,27,32,19,2,0,0
"N00000489",107,21,34,22,24,5,1,0,0
"N00000490",194,36,63,50,28,11,6,0,0
"N00000491",166,23,42,27,55,14,4,1,0
"N00000492",177,54,62,28,21,7,3,1,1
"N00000493",140,39,52,25,11,10,2,1,0
"N00000494",347,91,127,66,41,16,5,0,1
"N00000495",136,27,62,23,14,7,2,0,1
"N00000496",310,58,101,62,60,23,6,0,0
"N00000497",328,60,126,71,50,14,7,0,0
"N00000498",128,30,53,21,17,3,2,2,0
"N00000499",129,29,62,20,10,6,1,1,0
"N00000500",249,109,73,35,21,8,2,1,0
"N00000501",151,62,52,19,14,3,1,0,0
"N00000502",89,33,26,13,13,4,0,0,0
"N00000503",133,27,31,30,22,15,5,1,2
"N00000504",108,43,30,15,14,4,2,0,0
"N00000505",94,31,27,17,10,6,2,1,0
"N00000506",113,24,44,19,18,7,1,0,0
"N00000507",114,39,30,26,6,10,3,0,0
"N00000508",129,30,47,26,20,3,2,1,0
"N00000509",127,24,36,31,21,8,5,2,0
"N00000510",108,26,30,21,17,11,3,0,0
"N00000511",157,26,62,23,32,11,2,1,0
"N00000512",174,40,69,27,26,7,3,2,0
"N00000513",131,32,46,20,25,5,3,0,0
"N00000514",141,24,61,18,33,5,0,0,0
"N00000515",124,24,40,20,25,12,2,0,1
"N00000516",92,21,44,9,13,3,2,0,0
"N00000517",125,20,46,24,29,5,0,1,0
"N00000518",119,23,45,23,18,5,4,0,1
"N00000519",118,32,52,17,14,1,2,0,0
"N00000520",269,75,105,45,31,11,1,1,0
"N00000521",183,56,64,34,19,9,1,0,0
"N00000522",181,44,63,36,23,11,3,0,1
"N00000523",154,42,42,28,27,11,4,0,0
"N00000524",177,29,60,32,38,17,1,0,0
"N00000525",211,96,54,28,25,5,3,0,0
"N00000526",117,43,34,24,8,4,4,0,0
"N00000527",133,34,38,29,18,9,5,0,0
"N00000528",111,51,35,12,8,2,3,0,0
"N00000529",135,74,34,14,11,2,0,0,0
"N00000530",130,44,43,23,10,8,1,1,0
"N00000531",151,74,29,25,17,6,0,0,0
"N00000532",105,48,25,20,4,8,0,0,0
"N00000533",159,117,32,7,3,0,0,0,0
"N00000534",169,28,50,35,32,18,5,0,1
"N00000535",183,30,62,29,40,17,3,1,1
"N00000536",148,27,58,25,23,12,1,1,1
"N00000537",142,25,44,30,29,9,4,1,0
"N00000538",148,31,54,22,24,11,4,1,1
"N00000539",139,23,51,23,29,7,6,0,0
"N00000540",123,27,52,23,15,5,1,0,0
"N00000541",158,37,48,37,21,11,4,0,0
"N00000542",130,55,42,17,8,6,1,1,0
"N00000543",138,30,38,21,30,14,5,0,0
"N00000544",128,51,40,16,14,5,1,1,0
"N00000545",126,38,49,16,16,3,3,1,0
"N00000546",120,33,41,33,3,7,2,1,0
"N00000547",143,55,35,24,19,7,2,1,0
"N00000548",114,35,33,21,11,9,4,0,1
"N00000549",115,64,31,5,6,6,2,0,1
"N00000550",180,58,50,34,27,9,1,0,1
"N00000551",100,31,20,21,15,6,6,0,1
"N00000552",101,26,34,16,16,7,1,1,0
"N00000553",131,30,45,21,19,11,2,3,0
"N00000554",103,34,22,24,16,6,1,0,0
"N00000555",110,33,39,21,9,7,1,0,0
"N00000556",115,25,31,18,23,10,1,2,5
"N00000557",167,22,42,34,28,20,17,2,2
"N00000558",148,31,42,16,34,16,6,2,1
"N00000559",124,19,55,20,20,7,3,0,0
"N00000560",146,25,40,37,27,13,4,0,0
"N00000561",162,25,47,32,28,21,6,0,3
