"Geography_Code","NM_1508_1_0","NM_1508_1_1","NM_1508_1_2","NM_1508_1_3","NM_1508_1_4","NM_1508_1_5","NM_1508_1_6"
"N00000500",249,125,99,20,5,0,154
"N00000501",151,83,55,13,0,0,81
"N00000502",89,48,32,7,1,1,53
"N00000503",133,56,60,14,1,2,99
"N00000504",108,52,52,2,1,1,63
"N00000505",94,39,33,18,3,1,82
"N00000506",113,15,59,30,6,3,149
"N00000507",114,52,50,11,1,0,75
"N00000508",129,29,65,29,4,2,143
"N00000509",127,60,48,15,2,2,93
"N00000510",108,59,35,9,5,0,68
"N00000511",157,15,63,59,17,3,244
"N00000512",174,22,69,54,23,6,273
"N00000513",131,13,60,46,9,3,192
"N00000514",141,4,73,53,9,2,214
"N00000515",124,10,44,58,8,4,200
"N00000516",92,8,42,34,5,3,139
"N00000517",125,7,52,49,11,6,207
"N00000518",119,9,42,44,17,7,211
"N00000519",118,14,57,33,13,1,166
"N00000520",269,52,132,70,11,4,322
"N00000521",183,28,105,35,12,3,224
"N00000522",181,18,91,56,6,10,263
"N00000523",154,11,68,55,17,3,249
"N00000524",177,7,58,85,21,6,317
"N00000525",211,57,99,42,11,2,224
"N00000526",117,50,49,15,3,0,88
"N00000527",133,50,63,18,1,1,107
"N00000528",111,51,54,6,0,0,66
"N00000529",135,70,58,7,0,0,72
"N00000530",130,39,74,14,2,1,112
"N00000531",151,67,67,14,3,0,104
"N00000532",105,53,45,6,1,0,60
"N00000533",159,108,45,5,0,1,59
"N00000534",169,6,53,85,22,3,302
"N00000535",183,10,40,82,33,18,380
"N00000536",148,8,50,67,15,8,273
"N00000537",142,4,42,58,23,15,290
"N00000538",148,7,52,51,28,10,284
"N00000539",139,8,56,53,16,6,240
"N00000540",123,8,56,44,6,9,199
"N00000541",158,7,66,66,15,4,260
"N00000542",130,39,45,34,9,3,153
"N00000543",138,20,49,57,11,1,200
"N00000544",128,37,66,17,6,2,126
"N00000545",126,27,57,35,5,2,151
"N00000546",120,27,57,33,3,0,132
"N00000547",143,38,70,29,5,1,147
"N00000548",114,23,49,30,8,4,149
"N00000549",115,63,48,3,1,0,57
"N00000550",180,42,76,52,8,2,214
"N00000551",100,35,45,17,3,0,88
"N00000552",101,18,53,26,2,2,119
"N00000553",131,43,63,22,3,0,116
"N00000554",103,43,54,6,0,0,66
"N00000555",110,53,43,11,2,1,75
"N00000556",115,39,67,7,0,2,89
"N00000557",167,4,47,78,18,20,341
"N00000558",148,6,39,66,19,18,315
"N00000559",124,7,41,51,14,11,240
"N00000560",146,7,50,51,26,12,281
"N00000561",162,15,41,73,20,13,306
"N00000562",143,10,64,49,12,8,237
"N00000563",356,98,186,59,9,4,347
"N00000564",138,48,65,19,5,1,122
"N00000565",124,56,51,14,1,2,90
"N00000566",123,29,56,29,5,4,145
"N00000567",200,18,78,84,14,6,314
"N00000568",130,7,60,49,11,3,203
"N00000569",167,41,89,28,9,0,172
"N00000570",129,8,53,50,16,2,209
"N00000571",120,5,38,48,21,8,233
"N00000572",200,9,67,89,28,7,359
"N00000573",138,4,37,72,15,10,267
"N00000574",149,2,52,70,18,7,276
"N00000575",160,7,44,70,27,12,319
"N00000576",131,14,62,41,10,4,191
"N00000577",154,11,61,58,14,10,260
"N00000578",243,18,93,93,24,15,413
"N00000579",149,12,54,58,16,9,256
"N00000580",177,14,74,61,18,10,295
"N00000581",160,5,38,69,24,24,362
"N00000582",142,7,43,62,19,11,273
"N00000583",118,9,44,42,15,8,208
"N00000584",157,8,43,75,24,7,296
"N00000585",155,14,38,63,26,14,304
"N00000586",154,6,44,70,21,13,302
"N00000587",154,5,33,66,27,23,358
"N00000588",139,6,51,54,21,7,253
"N00000589",182,13,39,82,27,21,385
"N00000590",137,8,45,47,22,15,271
"N00000591",155,7,58,52,22,16,299
"N00000592",188,18,73,85,10,2,281
"N00000593",171,5,39,83,26,18,360
"N00000594",130,7,34,55,27,7,258
"N00000595",185,12,56,85,22,10,334
"N00000596",120,13,54,36,12,5,188
"N00000597",121,57,56,7,1,0,73
"N00000598",152,64,72,14,2,0,106
"N00000599",114,70,33,6,4,1,61
"N00000600",122,18,65,28,7,4,158
"N00000601",133,24,74,31,3,1,149
"N00000602",111,13,64,29,4,1,139
"N00000603",151,26,55,58,10,2,209
"N00000604",132,27,47,37,14,7,196
"N00000605",196,23,93,62,15,3,275
"N00000606",124,6,51,54,11,2,201
"N00000607",129,43,55,25,5,1,124
"N00000608",138,8,46,59,12,13,256
"N00000609",136,12,39,64,17,4,236
"N00000610",147,9,47,60,24,7,268
"N00000611",122,11,46,42,17,6,206
"N00000612",246,89,125,29,2,1,193
"N00000613",112,50,51,9,2,0,75
"N00000614",119,63,46,8,2,0,68
"N00000615",87,43,39,5,0,0,49
"N00000616",129,38,71,15,3,2,119
"N00000617",133,44,70,16,1,2,115
"N00000618",271,101,116,46,7,1,233
"N00000619",141,6,59,61,12,3,230
"N00000620",139,10,72,48,8,1,197
"N00000621",176,39,89,43,4,1,191
"N00000622",164,35,77,42,7,3,194
"N00000623",125,25,48,34,12,6,176
"N00000624",160,7,38,79,24,12,323
"N00000625",118,30,57,21,9,1,130
"N00000626",156,9,44,62,20,21,328
"N00000627",159,9,58,57,24,11,295
"N00000628",141,9,53,46,23,10,259
"N00000629",171,42,65,48,14,2,211
"N00000630",126,43,56,20,5,2,119
"N00000631",137,4,43,57,20,13,274
"N00000632",156,9,48,64,23,12,298
"N00000633",126,7,40,55,17,7,231
"N00000634",166,5,48,74,25,14,330
"N00000635",153,8,55,59,23,8,276
"N00000636",143,7,51,45,27,13,278
"N00000637",305,57,142,82,19,5,384
"N00000638",136,12,60,45,15,4,211
"N00000639",143,13,68,44,15,3,213
"N00000640",132,31,56,28,13,4,167
"N00000641",129,12,52,51,10,4,200
"N00000642",145,19,72,45,8,1,190
"N00000643",148,11,59,55,14,9,250
"N00000644",184,19,84,58,20,3,275
"N00000645",136,14,54,39,20,9,232
"N00000646",124,8,46,49,14,7,217
"N00000647",300,80,139,60,16,5,327
"N00000648",129,11,53,45,15,5,210
"N00000649",132,3,47,52,19,11,260
"N00000650",229,23,98,93,13,2,332
"N00000651",122,57,49,12,4,0,85
"N00000652",200,11,83,100,4,2,303
"N00000653",116,11,48,42,10,5,182
"N00000654",114,46,45,14,7,2,104
"N00000655",141,18,75,38,7,3,187
"N00000656",115,44,43,20,5,3,111
"N00000657",318,38,134,115,21,10,467
"N00000658",123,8,38,52,19,6,223
"N00000659",142,8,63,45,19,7,239
"N00000660",153,36,72,35,6,4,181
"N00000661",141,12,46,56,16,11,251
"N00000662",140,14,60,55,7,4,208
"N00000663",148,15,50,55,25,3,249
"N00000664",148,26,56,46,17,3,213
"N00000665",145,18,56,44,18,9,239
"N00000666",132,9,39,60,14,10,248
"N00000667",137,9,49,53,14,12,252
"N00000668",127,26,65,31,1,4,151
"N00000669",151,15,61,60,7,8,240
"N00000670",126,23,66,27,6,4,155
"N00000671",130,44,66,13,3,4,119
"N00000672",131,13,69,39,9,1,178
"N00000673",353,69,161,97,22,4,437
"N00000674",130,5,67,50,5,3,194
"N00000675",144,7,52,68,16,1,240
"N00000676",294,57,142,75,14,6,358
"N00000677",143,65,63,13,1,1,96
"N00000678",161,13,52,60,19,17,303
"N00000679",167,8,45,76,27,11,326
"N00000680",139,37,45,39,10,8,190
